X,Y,Z,formation
14.937,395.581,44.287,top_soil
14.937,395.581,43.337,silty_clay
14.937,395.581,40.437,silty_clay
14.937,395.581,40.027,silty_clay
14.937,395.581,39.737,sandstone
14.937,395.581,39.337,sandstone
14.937,395.581,36.337,sandstone
14.937,395.581,35.417,siltstone_sandstone
14.937,395.581,34.907,sandstone
14.937,395.581,34.057,siltstone_sandstone
14.937,395.581,30.837,siltstone
14.937,395.581,30.457,sandstone
14.937,395.581,26.457,siltstone
14.937,395.581,26.337,siltstone_sandstone
14.937,395.581,22.087,siltstone_sandstone
14.937,395.581,21.537,sandstone
14.937,395.581,20.537,siltstone
14.937,395.581,18.807,siltstone_sandstone
14.937,395.581,15.087,siltstone
96.084,83.736,36.229,top_soil
96.084,83.736,34.429,silty_clay
96.084,83.736,31.629,silty_clay
96.084,83.736,30.779,silty_clay
96.084,83.736,30.729,siltstone
96.084,83.736,29.779,siltstone
96.084,83.736,29.589,sandstone
96.084,83.736,28.519,siltstone
96.084,83.736,28.429,sandstone
96.084,83.736,19.429,siltstone
96.084,83.736,18.909,siltstone_sandstone
78.683,16.711,38.807,top_soil
78.683,16.711,37.157,silty_clay
78.683,16.711,36.157,silty_clay
78.683,16.711,35.057,silty_clay
78.683,16.711,34.727,silty_clay
78.683,16.711,34.607,silty_clay
78.683,16.711,31.657,siltstone
78.683,16.711,30.957,siltstone_sandstone
78.683,16.711,28.607,siltstone
78.683,16.711,20.857,siltstone
78.683,16.711,19.857,siltstone_sandstone
78.683,16.711,18.607,sandstone
78.683,16.711,18.137,siltstone
78.683,16.711,17.157,sandstone
78.683,16.711,15.557,siltstone_sandstone
78.683,16.711,14.657,siltstone_sandstone
78.683,16.711,12.957,siltstone
104.446,31.308,37.425,top_soil
104.446,31.308,35.175,silty_clay
104.446,31.308,33.425,silty_clay
104.446,31.308,33.305,silty_clay
104.446,31.308,30.745,siltstone
104.446,31.308,27.225,siltstone
104.446,31.308,25.525,siltstone
104.446,31.308,24.025,siltstone
104.446,31.308,21.525,siltstone
104.446,31.308,19.425,siltstone
104.446,31.308,18.525,siltstone_sandstone
104.446,31.308,17.525,siltstone_sandstone
104.446,31.308,15.225,siltstone
104.446,31.308,13.525,siltstone_sandstone
104.446,31.308,10.525,siltstone_sandstone
53,30,39.02,top_soil
53,30,37.32,silty_clay
53,30,36.32,silty_clay
53,30,34.92,silty_clay
53,30,33.62,silty_clay
53,30,33.31,silty_clay
53,30,31.72,silty_clay
53,30,31.12,sandstone
53,30,30.26,siltstone
53,30,30.12,siltstone_sandstone
53,30,29.52,siltstone_sandstone
53,30,29.12,siltstone
53,30,27.42,siltstone_sandstone
53,30,26.82,sandstone
53,30,26.12,siltstone_sandstone
53,30,20.12,siltstone
53,30,19.12,siltstone_sandstone
53,30,18.12,siltstone_sandstone
53,30,16.37,siltstone
53,30,15.37,siltstone_sandstone
53,30,12.41,siltstone
53,30,12.3,siltstone
53,30,10.12,siltstone
